Transitivity,Stem,Definition
Intransitive,आ,
Intransitive,उग,
Intransitive,उठ,
Intransitive,उड़,
Intransitive,उतर,
Intransitive,उबाल,
Intransitive,ऊब,
Intransitive,कट,
Intransitive,काँप,
Intransitive,गिर,
Intransitive,घूम,
Intransitive,चमक,
Intransitive,चल,
Intransitive,छप,
Intransitive,छूट,
Intransitive,जल,
Intransitive,जान,
Either,जीत,
Either,जी,
Intransitive,झूम,
Intransitive,टपक,
Intransitive,टहल,
Intransitive,टूट,
Intransitive,ठहर,
Intransitive,डर,
Intransitive,डूब,
Intransitive,तैर,
Intransitive,थक,
Intransitive,दब,
Intransitive,दिख,
Intransitive,दौड़,
Intransitive,धूल,
Intransitive,नहा,
Intransitive,नाच,
Intransitive,निकल,
Intransitive,पड़,
Intransitive,पहुँच,
Intransitive,फिर,
Intransitive,फुसफुसा,
Intransitive,बच,
Intransitive,बज,
Intransitive,बढ़,
Either,बदल,
Intransitive,बस,
Intransitive,बिक ,
Intransitive,इबगड़,
Intransitive,बीत,
Intransitive,बैठ,
Either,बोल,
Intransitive,भर,
Intransitive,भाग,
Intransitive,भीग,
Intransitive,भूल,
Intransitive,भौंक,
Intransitive,मच,
Intransitive,मर,
Intransitive,मिल,
Intransitive,मुड़,
Either,मुस्करा,
Intransitive,रह,
Intransitive,रुक,
Intransitive,रो,
Intransitive,लग,
Intransitive,ला,
Intransitive,लेट,
Either,समझ,
Intransitive,मुधर,
Intransitive,सूझ,
Intransitive,सो,
Intransitive,हँस,
Intransitive,हिल,
Intransitive,हो,
Transitive,उठा,
Transitive,उड़ा,
Transitive,उतार,
Transitive,कमा,
Transitive,कर,
Transitive,कह,
Transitive,काट,
Transitive,ख़रीद,
Transitive,खा,
Transitive,खिला,
Transitive,खींच,
Transitive,खेल,
Transitive,खोल,
Transitive,गँवा,
Transitive,गा,
Transitive,गिरा,
Transitive,गुज़ार,
Transitive,घुमा,
Transitive,चला,
Transitive,चाह,
Transitive,चिढ़ा,
Transitive,चुन,
Transitive,छू,
Transitive,छोड़,
Transitive,जगा,
Transitive,जला,
Transitive,जान,
Transitive,जीत,
Transitive,जोड़,
Transitive,डाँट,
Transitive,डाल,
Transitive,ढूँढ़,
Transitive,तोड़,
Transitive,दिलवा,
Transitive,देख,
Transitive,दे,
Transitive,दो,
Transitive,धो,
Transitive,निकाल,
Transitive,पकड़,
Transitive,पढ़,
Transitive,पढ़ा,
Transitive,पहन,
Transitive,पहुँचा,
Transitive,पा,
Transitive,पी,
Transitive,पूछ,
Transitive,फाड़,
Transitive,बचा,
Transitive,बजा,
Transitive,बता,
Transitive,बदल,
Transitive,बना,
Transitive,बाँट,
Transitive,बिठा,
Transitive,बुला,
Transitive,बेच,
Transitive,भेज,
Transitive,मँगवा,
Transitive,मान,
Transitive,मार,
Transitive,मिला,
Transitive,रख,
Transitive,रोक,
Transitive,लगा,
Transitive,लाद,
Transitive,लिख,
Transitive,लिटा,
Transitive,लूट,
Transitive,लेन,
Transitive,समझा,
Transitive,सिख,
Transitive,सुधार,
Transitive,सुन,
Transitive,सुना,
Transitive,सुला,
Transitive,सोच,
Transitive,हँसा,
